
sdocsdef, 3, 914, 0, 0, 221, 0
sdocs, 5, 117, 1, 0, 19, 0
sdocsvws, 10, 172, 0, 0, 33, 1
sdocswadm, 1, 22, 2, 1, 5, 0
sdocswmd, 32, 285, 0, 0, 44, 0
sdocswmeta, 2, 63, 0, 0, 13, 1
sdocswph, 0, 13, 1, 0, 3, 0
sdocswpr, 6, 72, 3, 4, 11, 0
sdocswpv, 4, 67, 0, 0, 12, 0
sdocsw, 0, 27, 2, 0, 5, 0
sdodbmig, 772, 27339, 508, 415, 949, 89
sdodcmixsd, 0, 13, 0, 0, 3, 0
sdodwgrd, 0, 14, 1, 1, 1, 0
sdoe101, 21, 21705, 536, 459, 907, 8
sdoe102, 0, 658, 20, 20, 110, 0
sdoe111, 0, 662, 19, 19, 113, 0
sdoe112, 0, 236, 6, 6, 41, 0
sdoepsg75data, 0, 2108, 0, 0, 86, 42
sdoepsg75drop, 0, 155, 0, 0, 23, 0
sdoepsg75tables, 0, 96, 0, 0, 24, 0
sdoepsg75tfm, 0, 505, 0, 0, 49, 2
sdoepsgl2, 0, 1224, 3, 3, 214, 16
sdoepsgl3, 0, 1132, 3, 3, 191, 5
sdoepsgl4, 0, 25, 0, 0, 6, 0
sdoepsgl, 0, 1351, 3, 3, 244, 30
sdogcdrb, 2, 29, 1, 1, 6, 0
sdogmmb, 0, 315, 0, 46, 37, 1
sdolrsb, 1, 25, 1, 1, 5, 0
sdondmtfb, 1, 29, 1, 1, 6, 1
sdonetb, 1, 31, 2, 2, 5, 0
sdonetmemb, 1, 99, 2, 15, 11, 0
sdonfeb, 1, 25, 1, 1, 5, 0
sdoobjtrkrb, 1, 74, 3, 3, 5, 0
sdopart, 2, 63, 2, 1, 13, 1
sdopopt, 6, 119, 0, 0, 19, 0
sdordfaggb, 0, 104, 0, 24, 10, 0
sdordfai, 1, 108, 12, 9, 12, 0
sdordfb, 1, 51, 4, 6, 7, 0
sdordfctxdrb, 0, 20, 2, 3, 3, 0
sdordfdrb, 0, 36, 5, 7, 5, 0
sdordfeximb, 3, 33, 1, 1, 7, 0
sdordfm, 2, 144, 1, 7, 23, 0
sdordfpgm, 1, 54, 1, 4, 9, 0
sdordfr2rb, 0, 20, 2, 3, 3, 0
sdordfsadrb, 0, 44, 6, 9, 5, 0
sdordfsys, 1, 45, 2, 1, 7, 0
sdordfxb, 1, 39, 2, 3, 6, 0
sdosemctxb, 0, 36, 5, 7, 5, 0
sdosemdgb, 0, 19, 2, 3, 3, 0
sdosemdgu, 0, 46, 5, 3, 8, 0
sdosemdmb, 0, 27, 2, 3, 4, 0
sdoseminfb, 0, 31, 4, 6, 4, 0
