,name,category,1,2,3,4,5,6,7,time
284,bug31115653_postapply,0,61.0,0.0,0.0,1.0,1.0,0.0,0.0,0.438
285,bug31115653_postapply,0,61.0,0.0,0.0,1.0,1.0,0.0,0.0,0.438
286,32385068_apply,0,6067.0,2.0,0.0,1.0,3.0,8.0,0.0,1.063
287,32385068_apply,0,6067.0,2.0,0.0,1.0,3.0,8.0,0.0,1.063
288,bug_32003908_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.34
289,bug_32003908_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.34
290,cdhcs,2,45.0,328.0,0.0,1.0,380.0,0.0,0.0,14.883
291,cdhcs,2,45.0,328.0,0.0,1.0,380.0,0.0,0.0,14.883
292,dbmshier,1,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.364
293,dbmshier,1,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.364
294,bug_31926848_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.424
295,bug_31926848_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.424
296,bug_33109335_apply,0,58.0,0.0,0.0,1.0,3.0,0.0,0.0,0.356
297,bug_33109335_apply,0,58.0,0.0,0.0,1.0,3.0,0.0,0.0,0.356
298,bug_32583355_apply,0,58.0,0.0,3.0,1.0,9.0,0.0,0.0,0.909
299,bug_32583355_apply,0,58.0,0.0,3.0,1.0,9.0,0.0,0.0,0.909
300,catggshard,0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.362
301,catggshard,0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.362
302,bug_32610271_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.345
303,bug_32610271_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.345
304,dbmsstr,0,7742508.0,35.0,2.0,48.0,4.0,0.0,0.0,0.813
305,dbmsstr,0,7742508.0,35.0,2.0,48.0,4.0,0.0,0.0,0.813
306,dbmsatsk,0,48.0,8.0,0.0,1.0,0.0,0.0,0.0,0.388
307,dbmsatsk,0,48.0,8.0,0.0,1.0,0.0,0.0,0.0,0.388
308,dbmsawr,0,47.0,3.0,0.0,1.0,2.0,0.0,7.0,0.375
309,dbmsawr,0,47.0,3.0,0.0,1.0,2.0,0.0,7.0,0.375
310,dbmschnf,0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.346
311,dbmschnf,0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.346
312,dbmsfus,0,47.0,1.0,0.0,1.0,2.0,0.0,0.0,0.353
313,dbmsfus,0,47.0,1.0,0.0,1.0,2.0,0.0,0.0,0.353
314,dbmsidxu,0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.362
315,dbmsidxu,0,48.0,1.0,0.0,1.0,0.0,0.0,0.0,0.362
