,0,1,2,3,category
295,deptxn,0.665060043334961,11987,CATPROC,0
296,prvtbord,0.378706932067871,53885,CATPROC,0
297,prvtsmb,0.358648061752319,11021,CATPROC,0
298,bug_31945038_apply,0.40163516998291,1430,DV,0
299,bug_31945038_rollback,0.394048929214478,1430,DV,0
300,drvrio,0.388069152832031,3523,CONTEXT,0
301,drvxtab,0.452038049697876,31813,CONTEXT,0
302,dr0repor,0.452709913253784,6513,CONTEXT,0
303,drvparx,0.38198184967041,3325,CONTEXT,0
304,sdogr,0.768002033233643,132949,SDO,0
305,prvtgrih,1.30470204353333,18656,SDO,0
306,execrsa,0.435027122497559,9033,CATPROC,0
307,catjsont,0.589387893676758,73769,CATPROC,0
308,catmaintplan,0.723857164382935,2683,CATPROC,0
309,catsnap,7.30867910385132,174852,CATPROC,3
310,dbmsmaintplan,0.400201797485352,15873,CATPROC,1
311,sdolrsb,0.390815019607544,29080,SDO,0
312,bug_31993795_apply,0.368380069732666,1364,DV,0
313,bug_31993795_rollback,0.461889028549194,1329,DV,0
314,bug_32080081_apply,6.06715798377991,4155,CATALOG,0
315,bug_32080081_rollback,0.482755899429321,1204,CATALOG,1
316,bug_31462082_apply,0.393945932388306,2470,CATALOG,0
317,bug_31462082_rollback,0.918254852294922,4756,CATALOG,0
318,catmaintplanv,0.452101945877075,5775,CATPROC,0
319,prvtmaintplan,0.486108064651489,8770,CATPROC,0
320,bug_29831567_apply,0.842257976531982,2210,CATPROC,0
321,catstrr,4.59808897972107,57108,CATPROC,0
322,prvtbapp,0.395405054092407,46170,CATPROC,1
323,prvtbstr,0.480761051177979,77164,CATPROC,0
324,prvtbxstr,0.414752006530762,85295,CATPROC,0
325,prvthstr,0.392764091491699,13368,CATPROC,0
326,prvtsqli,0.400701999664307,132907,CATPROC,0
327,bug_32124176_apply,0.36217999458313,885,CATALOG,0
328,bug_32218552_apply,0.364157915115356,1323,CATALOG,0
329,bug_32124176_rollback,0.389241933822632,1260,CATALOG,0
330,bug_32218552_rollback,0.945868968963623,10138,CATALOG,0
331,prvtbsdp,0.375602006912231,4912,CATPROC,0
332,dbmsappcon,0.405323028564453,15599,CATPROC,0
333,bug31374373,0.468281984329224,961,CATALOG,0
334,prvtappcon,0.380434989929199,1329,CATPROC,0
335,drv0ddl,0.372864007949829,794,CONTEXT,0
336,ctxval,0.361752033233643,5495,CONTEXT,0
337,bug_32190284_apply,0.358437061309814,1200,CATPROC,0
338,bug_30310195_apply,0.374809980392456,2780,CATALOG,0
339,prvtxdz0,0.405355215072632,5643,XDB,0
340,prvtxdbz,0.414941072463989,9317,XDB,0
341,bug_32252294_apply,0.369745016098022,1306,CATALOG,0
342,bug_32355765_rollback,0.708784103393555,2460,CATALOG,0
343,bug_32355765_apply,0.364837884902954,1563,CATPROC,0
344,dbmsedu2,0.39379096031189,1362,CATPROC,0
345,utlrcmp2,0.386482954025269,8424,CATPROC,0
346,prvtrctv2,0.465898990631104,3874,CATPROC,0
347,prvtrcmp2,0.790410041809082,6413,CATPROC,0
348,prvtedu2,0.378072023391724,477,CATPROC,0
349,bug_32603152_postapply,0.96756386756897,1953,CATPROC,0
350,bug_32603152_rollback,0.524739027023315,2270,CATALOG,0
351,bug_17777718_apply,0.951109170913696,47073,CATPROC,0
352,bug_17777718_rollback,0.503036975860596,3164,CATALOG,0
353,owmutls,0.370553016662598,7427,CATALOG,0
354,owmutlb,0.382957935333252,61652,CATALOG,0
355,bug_32438777_apply,3.78570008277893,6867,CATALOG,0
356,bug_32438777_rollback,3.58296895027161,6234,CATALOG,0
357,bug31115653_postapply,0.709365129470825,2803,CATALOG,0
358,bug31115653_postrollback,0.373347043991089,2805,CATALOG,0
359,32385068_apply,1.25870704650879,5869,SDO,0
360,32385068_rollback,1.54814410209656,5569,SDO,1
361,prvtlmsb,0.372892141342163,10667,CATPROC,0
362,bug_32003908_apply,0.430814981460571,1560,CATALOG,0
363,bug_32003908_rollback,5.84256911277771,21744,CATALOG,0
364,cdhcs,18.3929741382599,559319,CATALOG,2
365,dbmshier,0.375119924545288,5025,CATPROC,1
366,prvthier,0.364125967025757,3827,CATPROC,0
367,bug_31926848_apply,0.392715930938721,1951,CATALOG,0
368,bug_33109335_apply,0.36542797088623,1605,DV,0
369,bug_32583355_apply,0.391577959060669,5404,CATALOG,0
370,catggshard,0.370858192443848,2504,CATPROC,0
371,bug_32610271_apply,0.359527111053467,1410,CATALOG,0
372,dbmsstr,0.951449155807495,81173,CATPROC,0
373,dbmsatsk,0.406976938247681,16680,CATPROC,0
374,dbmsawr,0.406579971313477,82093,CATPROC,0
375,dbmschnf,0.375685930252075,3681,CATPROC,0
376,dbmsfus,0.374348878860474,3728,CATPROC,0
377,dbmsidxu,0.382958889007568,24637,CATPROC,0
378,dbmsmb,0.374752044677734,3429,CATPROC,0
379,dbmsmntr,0.381005048751831,11265,CATPROC,0
380,dbmspspi,0.373816013336182,24606,CATPROC,0
381,dbmsres,0.396106004714966,2941,CATPROC,0
382,dbmsslrt,0.799484014511108,32537,CATPROC,0
383,dbmsslxp,0.374778985977173,2223,CATPROC,0
384,dbmstran,0.400532960891724,8601,CATPROC,0
385,dbmstxin,0.413072109222412,2703,CATPROC,0
386,dbmsuadv,0.430641889572144,17517,CATPROC,1
387,dbmsumf,0.385885953903198,18624,CATPROC,0
388,prvthidx,0.363432884216309,1529,CATPROC,0
389,prvtpstdy,0.374220132827759,2945,CATPROC,0
390,prvthcmp,0.361021041870117,3187,CATPROC,0
391,prvthfgr,0.379817962646484,5201,CATPROC,0
392,prvthfie,0.379784822463989,2944,CATPROC,0
393,prvthitr,0.37252402305603,1378,CATPROC,0
394,prvsfus,0.452990055084229,785,CATPROC,0
395,prvsfusc,0.362400054931641,556,CATPROC,0
396,prvtfus,0.373795032501221,7570,CATPROC,0
397,prvtpspi,0.420305967330933,48990,CATPROC,0
398,prvtuadv,0.376487970352173,8103,CATPROC,0
399,prvthlrt,0.367276906967163,1242,CATPROC,0
400,dbmssrv,0.452754974365234,39430,CATPROC,0
401,prvtxplni,0.368018865585327,8319,CATPROC,0
402,bug_32952285_apply,1.25187206268311,11673,DV,0
403,bug_32952285_rollback,0.411034107208252,18713,DV,0
404,bug_33253504_apply,1.25020098686218,1423,CATALOG,0
405,sdocs,2.2248170375824,44238,SDO,0
406,29201539_apply,0.396561861038208,1654,SDO,1
407,32131774_apply,0.830863952636719,1908,SDO,1
408,epsgsrids32987004,0.928333044052124,53372,SDO,0
409,bug_31639082_apply,0.379254102706909,1823,CATALOG,1
410,bug_31639082_rollback,0.369549036026001,2445,CATALOG,0
411,prvtesch,0.408459901809692,30537,CATPROC,0
412,bug_32440681_apply,0.36474609375,1573,CATPROC,0
413,catqos,0.774489879608154,7682,CATPROC,0
414,prvtwlm,0.367661952972412,7671,CATPROC,0
