Unnamed: 0,grants,size,packages,alters,commands,commits,time,md
1259,0,75,2,2,2,0,0.41,0
1260,0,24,1,1,4,0,0.354,0
1261,0,24,1,0,4,0,0.354,0
1262,4,70,7,0,16,0,1.175,0
1263,0,24,1,1,4,0,0.354,0
1264,0,33,2,2,6,0,0.369,0
1265,0,67,11,11,9,0,0.66,0
1266,0,24,1,1,4,0,0.352,0
1267,0,4,0,1,1,0,0.734,0
1268,3,272,8,7,8,0,1.017,0
1269,0,12,1,1,3,0,0.387,0
1270,0,8,1,1,1,0,0.352,0
1271,0,17,1,1,3,0,0.353,0
1272,0,24,2,2,4,0,0.385,0
1273,0,32,4,6,4,0,0.389,0
1274,1,26,2,0,6,0,0.689,0
1275,0,16,1,1,3,0,0.346,0
1276,0,16,1,1,3,0,0.348,0
1277,1,50,2,2,9,1,0.416,0
1278,1,67,7,5,9,0,0.543,0
1279,0,17,1,1,3,0,0.352,0
1280,0,50,3,4,1,0,0.37,0
1281,0,24,2,2,4,0,0.352,0
1282,0,25,2,2,4,0,0.351,0
1283,0,42,2,0,6,0,0.36,0
1284,1,24,2,1,6,0,0.442,0
1285,67,845,1,55,197,0,4.124,0
1286,2,71,6,3,16,3,0.507,0
1287,1,21,2,1,5,0,0.421,0
1288,0,43,3,3,6,0,0.358,0
1289,0,33,3,2,5,0,0.355,0
1290,2,64,4,3,10,0,0.835,0
1291,0,16,0,0,3,0,0.352,0
1292,0,8,1,1,1,0,0.365,0
1293,6,151,2,2,21,0,1.633,0
1294,0,17,1,0,3,0,0.354,0
1295,5,325,10,8,25,0,1.475,0
1296,1,21,1,1,4,0,0.387,0
1297,0,17,1,0,3,0,0.348,0
1298,0,16,1,1,3,0,0.349,0
1299,1,33,1,1,7,1,0.362,0
1300,0,17,1,0,3,0,0.346,0
1301,0,24,1,1,4,0,0.352,0
1302,0,20,2,3,3,0,0.48,0
1303,0,13,1,0,3,0,0.377,0
1304,0,16,1,1,3,0,0.353,0
1305,0,17,1,1,3,0,0.356,0
1306,0,45,1,1,8,0,0.428,0
1307,0,20,2,1,5,0,0.398,0
1308,0,34,2,2,6,1,0.39,0
1309,0,26,2,2,4,0,0.37,0
1310,0,30,2,0,5,0,0.367,0
1311,0,17,1,1,3,0,0.345,0
1312,3,29,1,0,6,0,0.391,0
1313,0,131,16,15,16,0,2.111,0
1314,1,17,3,2,4,0,0.774,0
1315,0,32,2,6,4,0,0.389,0
1316,0,16,1,1,3,0,0.35,0
1317,0,22,2,3,3,0,0.37,0
1318,1,40,3,4,7,0,0.395,0
1319,2,51,5,6,9,0,0.416,0
1320,0,16,1,1,3,0,0.353,0
1321,0,17,1,1,3,0,0.353,0
1322,0,17,1,1,3,0,0.354,0
1323,0,17,1,1,3,0,0.351,0
1324,0,25,1,1,5,0,0.393,0
1325,0,17,1,1,3,0,0.367,0
1326,0,53,0,3,4,0,1.054,0
1327,0,55,3,3,4,0,0.746,0
1328,0,24,3,4,4,0,0.389,0
1329,0,17,2,0,4,0,0.419,0
1330,0,16,1,1,3,0,0.351,0
1331,0,17,1,1,3,0,0.35,0
1332,0,16,2,2,4,0,0.413,0
1333,0,4,1,1,1,0,0.693,0
1334,0,25,1,1,4,0,0.355,0
1335,0,1714,15,2,387,0,27.458,0
1336,3,52,3,3,12,0,0.609,0
1337,0,68,7,5,9,0,0.362,0
1338,0,73,6,6,9,0,1.205,0
1339,0,32,3,2,5,0,0.36,0
1340,0,231,3,4,3,0,0.392,0
1341,0,16,1,1,3,0,0.348,0
1342,12,625,44,25,88,0,1.925,0
1343,1,38,4,1,8,0,0.909,0
1344,0,20,2,3,3,0,0.447,0
1345,0,25,1,1,4,0,0.355,0
1346,6,830,58,31,153,0,4.413,0
1347,5,114,3,2,18,0,1.023,0
1348,0,265,0,0,37,1,0.705,0
1349,0,116,0,0,26,0,0.755,0
1350,0,92,0,4,15,0,0.856,0
1351,0,16,1,0,4,0,0.402,0
1352,0,109,0,0,24,0,0.697,0
1353,0,32,2,3,6,0,0.738,0
1354,0,16,1,1,3,0,0.354,0
1355,0,20,2,3,3,0,0.4,0
1356,2,66,8,4,15,0,0.596,0
1357,0,25,0,0,4,0,0.354,0
1358,0,24,1,1,4,0,0.353,0
1359,1,78,4,2,12,0,0.899,0
1360,0,20,1,1,5,0,0.721,0
1361,0,16,1,1,3,0,0.349,0
1362,0,12,1,1,3,0,0.36,0
1363,0,32,2,6,4,0,0.413,0
